GameNumber,RunNumber,ManaUsed,PlayerHealth,PlayerHealing,DamageToPlayer,EnemyCount,EnemyTypeCounts,PlayerSpeed,PlayerDefense,AIScorePercent
1,20,250.00,50.00,36.00,36.00,76.00,"Skeleton Unarmed=15; Skeleton Sword=12; Skeleton Shield=7; Skeleton Spear=12; Skeleton Sword & Shield=9; Skeleton Mage=11; Skeleton Bow=8; Skeleton Leader=2",9.33,3.50,0.00
1,21,271.00,134.00,86.00,2.00,87.00,"Skeleton Unarmed=19; Skeleton Sword=14; Skeleton Shield=9; Skeleton Spear=14; Skeleton Sword & Shield=8; Skeleton Mage=11; Skeleton Bow=10; Skeleton Leader=2",10.47,4.00,0.00
1,22,275.00,150.00,43.00,27.00,84.00,"Skeleton Unarmed=17; Skeleton Sword=14; Skeleton Shield=7; Skeleton Spear=13; Skeleton Sword & Shield=10; Skeleton Mage=13; Skeleton Bow=8; Skeleton Leader=2",10.45,4.00,0.00
1,23,282.00,150.00,10.00,10.00,89.00,"Skeleton Unarmed=20; Skeleton Sword=15; Skeleton Shield=8; Skeleton Spear=13; Skeleton Sword & Shield=10; Skeleton Mage=12; Skeleton Bow=9; Skeleton Leader=2",10.36,4.00,0.00
1,24,291.00,150.00,7.00,7.00,90.00,"Skeleton Unarmed=19; Skeleton Sword=15; Skeleton Shield=7; Skeleton Spear=13; Skeleton Sword & Shield=10; Skeleton Mage=14; Skeleton Bow=10; Skeleton Leader=2",10.51,4.00,0.00
1,25,308.00,150.00,22.00,22.00,95.00,"Skeleton Unarmed=19; Skeleton Sword=16; Skeleton Shield=8; Skeleton Spear=15; Skeleton Sword & Shield=10; Skeleton Mage=16; Skeleton Bow=9; Skeleton Leader=2",10.74,4.00,0.00
1,26,318.00,150.00,23.50,23.50,98.00,"Skeleton Unarmed=20; Skeleton Sword=17; Skeleton Shield=8; Skeleton Spear=14; Skeleton Sword & Shield=11; Skeleton Mage=16; Skeleton Bow=10; Skeleton Leader=2",11.66,4.50,0.00
1,27,329.00,150.00,7.50,7.50,102.00,"Skeleton Unarmed=21; Skeleton Sword=17; Skeleton Shield=9; Skeleton Spear=15; Skeleton Sword & Shield=10; Skeleton Mage=18; Skeleton Bow=10; Skeleton Leader=2",11.11,4.50,0.00
1,28,353.00,150.00,12.50,12.50,110.00,"Skeleton Unarmed=22; Skeleton Sword=18; Skeleton Shield=9; Skeleton Spear=17; Skeleton Sword & Shield=11; Skeleton Mage=19; Skeleton Bow=12; Skeleton Leader=2",12.63,4.50,0.00
1,29,370.00,150.00,13.50,13.50,115.00,"Skeleton Unarmed=23; Skeleton Sword=19; Skeleton Shield=10; Skeleton Spear=17; Skeleton Sword & Shield=11; Skeleton Mage=21; Skeleton Bow=12; Skeleton Leader=2",12.54,4.50,0.00
1,30,370.00,50.00,18.00,18.00,114.00,"Skeleton Unarmed=25; Skeleton Sword=18; Skeleton Shield=11; Skeleton Spear=16; Skeleton Sword & Shield=11; Skeleton Mage=18; Skeleton Bow=12; Skeleton Leader=3",12.57,4.50,0.00
1,31,386.00,150.00,100.00,0.00,121.00,"Skeleton Unarmed=29; Skeleton Sword=19; Skeleton Shield=10; Skeleton Spear=17; Skeleton Sword & Shield=11; Skeleton Mage=20; Skeleton Bow=12; Skeleton Leader=3",12.76,5.00,0.00
1,32,409.00,150.00,5.00,5.00,127.00,"Skeleton Unarmed=27; Skeleton Sword=22; Skeleton Shield=11; Skeleton Spear=18; Skeleton Sword & Shield=12; Skeleton Mage=20; Skeleton Bow=14; Skeleton Leader=3",13.49,5.00,0.00
1,33,402.00,150.00,11.00,11.00,127.00,"Skeleton Unarmed=26; Skeleton Sword=23; Skeleton Shield=11; Skeleton Spear=19; Skeleton Sword & Shield=12; Skeleton Mage=22; Skeleton Bow=12; Skeleton Leader=2",13.69,5.00,0.00
1,34,429.00,150.00,10.00,10.00,134.00,"Skeleton Unarmed=29; Skeleton Sword=22; Skeleton Shield=13; Skeleton Spear=19; Skeleton Sword & Shield=12; Skeleton Mage=22; Skeleton Bow=14; Skeleton Leader=3",13.79,5.00,0.00
1,35,452.00,150.00,10.00,10.00,142.00,"Skeleton Unarmed=32; Skeleton Sword=23; Skeleton Shield=12; Skeleton Spear=20; Skeleton Sword & Shield=13; Skeleton Mage=24; Skeleton Bow=15; Skeleton Leader=3",13.87,5.00,0.00
1,36,449.00,150.00,13.50,13.50,139.00,"Skeleton Unarmed=30; Skeleton Sword=22; Skeleton Shield=12; Skeleton Spear=20; Skeleton Sword & Shield=13; Skeleton Mage=25; Skeleton Bow=14; Skeleton Leader=3",14.16,5.50,0.00
1,37,451.00,150.00,9.00,9.00,142.00,"Skeleton Unarmed=32; Skeleton Sword=23; Skeleton Shield=12; Skeleton Spear=21; Skeleton Sword & Shield=14; Skeleton Mage=23; Skeleton Bow=14; Skeleton Leader=3",14.82,5.50,0.00
1,38,465.00,150.00,4.50,4.50,141.00,"Skeleton Unarmed=31; Skeleton Sword=22; Skeleton Shield=12; Skeleton Spear=20; Skeleton Sword & Shield=13; Skeleton Mage=25; Skeleton Bow=14; Skeleton Leader=4",14.87,5.50,0.00
1,39,487.00,150.00,9.00,9.00,152.00,"Skeleton Unarmed=33; Skeleton Sword=23; Skeleton Shield=13; Skeleton Spear=21; Skeleton Sword & Shield=13; Skeleton Mage=28; Skeleton Bow=18; Skeleton Leader=3",15.13,5.50,0.00
1,40,503.00,50.00,18.00,18.00,157.00,"Skeleton Unarmed=35; Skeleton Sword=25; Skeleton Shield=13; Skeleton Spear=22; Skeleton Sword & Shield=14; Skeleton Mage=30; Skeleton Bow=15; Skeleton Leader=3",15.38,5.50,0.00
1,41,508.00,150.00,108.00,8.00,160.00,"Skeleton Unarmed=37; Skeleton Sword=24; Skeleton Shield=14; Skeleton Spear=22; Skeleton Sword & Shield=15; Skeleton Mage=29; Skeleton Bow=16; Skeleton Leader=3",15.50,6.00,0.00
1,42,540.00,150.00,20.00,20.00,167.00,"Skeleton Unarmed=39; Skeleton Sword=25; Skeleton Shield=14; Skeleton Spear=23; Skeleton Sword & Shield=16; Skeleton Mage=30; Skeleton Bow=16; Skeleton Leader=4",15.68,6.00,0.00
1,43,537.00,150.00,4.00,4.00,167.00,"Skeleton Unarmed=39; Skeleton Sword=25; Skeleton Shield=14; Skeleton Spear=24; Skeleton Sword & Shield=14; Skeleton Mage=31; Skeleton Bow=16; Skeleton Leader=4",16.13,6.00,0.00
1,44,539.00,150.00,12.00,12.00,170.00,"Skeleton Unarmed=40; Skeleton Sword=26; Skeleton Shield=14; Skeleton Spear=23; Skeleton Sword & Shield=15; Skeleton Mage=33; Skeleton Bow=16; Skeleton Leader=3",17.15,6.00,0.00
1,45,558.00,150.00,16.00,16.00,173.00,"Skeleton Unarmed=39; Skeleton Sword=27; Skeleton Shield=14; Skeleton Spear=25; Skeleton Sword & Shield=14; Skeleton Mage=33; Skeleton Bow=17; Skeleton Leader=4",16.28,6.00,0.00
1,46,567.00,150.00,14.00,14.00,177.00,"Skeleton Unarmed=42; Skeleton Sword=26; Skeleton Shield=15; Skeleton Spear=24; Skeleton Sword & Shield=16; Skeleton Mage=32; Skeleton Bow=18; Skeleton Leader=4",17.52,6.50,0.00
1,47,587.00,150.00,10.50,10.50,184.00,"Skeleton Unarmed=44; Skeleton Sword=27; Skeleton Shield=15; Skeleton Spear=25; Skeleton Sword & Shield=15; Skeleton Mage=35; Skeleton Bow=19; Skeleton Leader=4",17.18,6.50,0.00
1,48,584.00,150.00,7.00,7.00,183.00,"Skeleton Unarmed=43; Skeleton Sword=29; Skeleton Shield=15; Skeleton Spear=25; Skeleton Sword & Shield=15; Skeleton Mage=34; Skeleton Bow=18; Skeleton Leader=4",17.11,6.50,0.00
1,49,610.00,150.00,14.00,14.00,190.00,"Skeleton Unarmed=43; Skeleton Sword=30; Skeleton Shield=16; Skeleton Spear=26; Skeleton Sword & Shield=15; Skeleton Mage=37; Skeleton Bow=19; Skeleton Leader=4",18.01,6.50,0.00
1,50,616.00,50.00,10.50,10.50,194.00,"Skeleton Unarmed=44; Skeleton Sword=30; Skeleton Shield=17; Skeleton Spear=28; Skeleton Sword & Shield=15; Skeleton Mage=36; Skeleton Bow=20; Skeleton Leader=4",18.24,6.50,0.00
2,1,10.00,142.00,0.00,8.00,2.00,"Skeleton Unarmed=0; Skeleton Sword=0; Skeleton Shield=0; Skeleton Spear=0; Skeleton Sword & Shield=0; Skeleton Mage=2; Skeleton Bow=0; Skeleton Leader=0",4.00,2.00,0.00
2,2,24.00,138.00,4.00,8.00,7.00,"Skeleton Unarmed=1; Skeleton Sword=2; Skeleton Shield=0; Skeleton Spear=1; Skeleton Sword & Shield=1; Skeleton Mage=2; Skeleton Bow=0; Skeleton Leader=0",4.26,2.00,0.00
2,3,36.00,138.00,22.00,22.00,13.00,"Skeleton Unarmed=4; Skeleton Sword=4; Skeleton Shield=0; Skeleton Spear=1; Skeleton Sword & Shield=0; Skeleton Mage=3; Skeleton Bow=1; Skeleton Leader=0",4.40,2.00,0.00
2,4,52.00,149.00,19.00,8.00,18.00,"Skeleton Unarmed=3; Skeleton Sword=2; Skeleton Shield=2; Skeleton Spear=4; Skeleton Sword & Shield=1; Skeleton Mage=3; Skeleton Bow=3; Skeleton Leader=0",4.66,2.00,0.00
2,5,59.00,150.00,13.00,12.00,19.00,"Skeleton Unarmed=4; Skeleton Sword=2; Skeleton Shield=1; Skeleton Spear=2; Skeleton Sword & Shield=2; Skeleton Mage=4; Skeleton Bow=4; Skeleton Leader=0",4.78,2.00,0.00
2,6,68.00,150.00,27.50,27.50,22.00,"Skeleton Unarmed=6; Skeleton Sword=3; Skeleton Shield=1; Skeleton Spear=2; Skeleton Sword & Shield=2; Skeleton Mage=6; Skeleton Bow=2; Skeleton Leader=0",5.41,2.50,0.00
2,7,83.00,150.00,15.00,15.00,28.00,"Skeleton Unarmed=7; Skeleton Sword=4; Skeleton Shield=3; Skeleton Spear=3; Skeleton Sword & Shield=2; Skeleton Mage=6; Skeleton Bow=3; Skeleton Leader=0",5.68,2.50,0.00
2,8,98.00,150.00,20.50,20.50,32.00,"Skeleton Unarmed=7; Skeleton Sword=4; Skeleton Shield=3; Skeleton Spear=4; Skeleton Sword & Shield=3; Skeleton Mage=7; Skeleton Bow=4; Skeleton Leader=0",6.08,2.50,0.00
2,9,108.00,150.00,21.00,21.00,36.00,"Skeleton Unarmed=8; Skeleton Sword=5; Skeleton Shield=5; Skeleton Spear=4; Skeleton Sword & Shield=3; Skeleton Mage=7; Skeleton Bow=4; Skeleton Leader=0",6.25,2.50,0.00
2,10,116.00,50.00,29.00,38.50,39.00,"Skeleton Unarmed=10; Skeleton Sword=5; Skeleton Shield=4; Skeleton Spear=5; Skeleton Sword & Shield=2; Skeleton Mage=10; Skeleton Bow=3; Skeleton Leader=0",6.30,2.50,0.00
2,11,130.00,0.00,0.00,52.00,39.00,"Skeleton Unarmed=9; Skeleton Sword=5; Skeleton Shield=3; Skeleton Spear=5; Skeleton Sword & Shield=3; Skeleton Mage=9; Skeleton Bow=4; Skeleton Leader=1",6.98,3.00,0.00
3,1,10.00,149.00,2.00,3.00,3.00,"Skeleton Unarmed=0; Skeleton Sword=1; Skeleton Shield=0; Skeleton Spear=1; Skeleton Sword & Shield=0; Skeleton Mage=1; Skeleton Bow=0; Skeleton Leader=0",4.00,2.00,0.00
3,2,20.00,144.00,3.00,8.00,8.00,"Skeleton Unarmed=3; Skeleton Sword=3; Skeleton Shield=0; Skeleton Spear=0; Skeleton Sword & Shield=0; Skeleton Mage=1; Skeleton Bow=1; Skeleton Leader=0",4.20,2.00,0.00
3,3,37.00,132.00,5.00,17.00,12.00,"Skeleton Unarmed=3; Skeleton Sword=2; Skeleton Shield=1; Skeleton Spear=1; Skeleton Sword & Shield=1; Skeleton Mage=3; Skeleton Bow=1; Skeleton Leader=0",4.34,2.00,0.00
3,4,46.00,133.00,12.00,11.00,15.00,"Skeleton Unarmed=4; Skeleton Sword=3; Skeleton Shield=1; Skeleton Spear=1; Skeleton Sword & Shield=1; Skeleton Mage=4; Skeleton Bow=1; Skeleton Leader=0",4.55,2.00,0.00
3,5,59.00,139.00,21.00,15.00,19.00,"Skeleton Unarmed=4; Skeleton Sword=3; Skeleton Shield=2; Skeleton Spear=2; Skeleton Sword & Shield=1; Skeleton Mage=5; Skeleton Bow=2; Skeleton Leader=0",4.73,2.00,0.00
3,6,77.00,130.50,25.00,33.50,26.00,"Skeleton Unarmed=6; Skeleton Sword=4; Skeleton Shield=3; Skeleton Spear=3; Skeleton Sword & Shield=1; Skeleton Mage=6; Skeleton Bow=3; Skeleton Leader=0",5.47,2.50,0.00
3,7,80.00,132.00,30.00,28.50,28.00,"Skeleton Unarmed=7; Skeleton Sword=5; Skeleton Shield=2; Skeleton Spear=4; Skeleton Sword & Shield=1; Skeleton Mage=6; Skeleton Bow=3; Skeleton Leader=0",5.78,2.50,0.00
3,8,98.00,150.00,31.50,13.50,32.00,"Skeleton Unarmed=7; Skeleton Sword=6; Skeleton Shield=2; Skeleton Spear=4; Skeleton Sword & Shield=3; Skeleton Mage=7; Skeleton Bow=3; Skeleton Leader=0",5.75,2.50,0.00
3,9,105.00,150.00,13.00,13.00,35.00,"Skeleton Unarmed=9; Skeleton Sword=5; Skeleton Shield=2; Skeleton Spear=4; Skeleton Sword & Shield=2; Skeleton Mage=9; Skeleton Bow=4; Skeleton Leader=0",6.22,2.50,0.00
3,10,114.00,50.00,28.00,28.00,38.00,"Skeleton Unarmed=9; Skeleton Sword=7; Skeleton Shield=4; Skeleton Spear=4; Skeleton Sword & Shield=2; Skeleton Mage=9; Skeleton Bow=3; Skeleton Leader=0",6.32,2.50,0.00
3,11,136.00,63.00,38.00,25.00,43.00,"Skeleton Unarmed=12; Skeleton Sword=6; Skeleton Shield=3; Skeleton Spear=5; Skeleton Sword & Shield=3; Skeleton Mage=9; Skeleton Bow=4; Skeleton Leader=1",7.33,3.00,0.00
3,12,148.00,85.00,47.00,25.00,48.00,"Skeleton Unarmed=13; Skeleton Sword=7; Skeleton Shield=4; Skeleton Spear=6; Skeleton Sword & Shield=3; Skeleton Mage=9; Skeleton Bow=5; Skeleton Leader=1",7.27,3.00,0.00
3,13,164.00,107.00,57.00,35.00,52.00,"Skeleton Unarmed=12; Skeleton Sword=8; Skeleton Shield=5; Skeleton Spear=6; Skeleton Sword & Shield=3; Skeleton Mage=10; Skeleton Bow=7; Skeleton Leader=1",7.34,3.00,0.00
3,14,171.00,118.00,55.00,44.00,54.00,"Skeleton Unarmed=14; Skeleton Sword=7; Skeleton Shield=4; Skeleton Spear=7; Skeleton Sword & Shield=4; Skeleton Mage=12; Skeleton Bow=5; Skeleton Leader=1",7.84,3.00,0.00
3,15,178.00,150.00,50.00,18.00,57.00,"Skeleton Unarmed=14; Skeleton Sword=8; Skeleton Shield=4; Skeleton Spear=7; Skeleton Sword & Shield=4; Skeleton Mage=11; Skeleton Bow=8; Skeleton Leader=1",7.50,3.00,0.00
3,16,183.00,150.00,22.50,22.50,59.00,"Skeleton Unarmed=14; Skeleton Sword=11; Skeleton Shield=4; Skeleton Spear=8; Skeleton Sword & Shield=4; Skeleton Mage=11; Skeleton Bow=6; Skeleton Leader=1",8.37,3.50,0.00
3,17,215.00,150.00,29.50,29.50,66.00,"Skeleton Unarmed=16; Skeleton Sword=9; Skeleton Shield=6; Skeleton Spear=9; Skeleton Sword & Shield=4; Skeleton Mage=13; Skeleton Bow=7; Skeleton Leader=2",8.56,3.50,0.00
3,18,217.00,150.00,13.50,13.50,69.00,"Skeleton Unarmed=20; Skeleton Sword=9; Skeleton Shield=5; Skeleton Spear=8; Skeleton Sword & Shield=4; Skeleton Mage=13; Skeleton Bow=8; Skeleton Leader=2",8.75,3.50,0.00
3,19,232.00,150.00,41.50,41.50,76.00,"Skeleton Unarmed=20; Skeleton Sword=10; Skeleton Shield=6; Skeleton Spear=10; Skeleton Sword & Shield=6; Skeleton Mage=15; Skeleton Bow=8; Skeleton Leader=1",9.47,3.50,0.00
3,20,243.00,50.00,6.00,6.00,82.00,"Skeleton Unarmed=23; Skeleton Sword=10; Skeleton Shield=6; Skeleton Spear=11; Skeleton Sword & Shield=5; Skeleton Mage=16; Skeleton Bow=10; Skeleton Leader=1",9.34,3.50,0.00
3,21,257.00,122.00,85.00,13.00,85.00,"Skeleton Unarmed=21; Skeleton Sword=13; Skeleton Shield=7; Skeleton Spear=12; Skeleton Sword & Shield=5; Skeleton Mage=17; Skeleton Bow=9; Skeleton Leader=1",10.19,4.00,0.00
3,22,268.00,150.00,47.00,19.00,84.00,"Skeleton Unarmed=22; Skeleton Sword=11; Skeleton Shield=7; Skeleton Spear=10; Skeleton Sword & Shield=6; Skeleton Mage=17; Skeleton Bow=9; Skeleton Leader=2",10.08,4.00,0.00
3,23,281.00,150.00,5.00,5.00,88.00,"Skeleton Unarmed=22; Skeleton Sword=13; Skeleton Shield=7; Skeleton Spear=11; Skeleton Sword & Shield=6; Skeleton Mage=18; Skeleton Bow=9; Skeleton Leader=2",10.63,4.00,0.00
3,24,292.00,150.00,17.00,17.00,92.00,"Skeleton Unarmed=23; Skeleton Sword=13; Skeleton Shield=7; Skeleton Spear=12; Skeleton Sword & Shield=6; Skeleton Mage=19; Skeleton Bow=10; Skeleton Leader=2",10.63,4.00,0.00
3,25,318.00,150.00,46.00,46.00,103.00,"Skeleton Unarmed=27; Skeleton Sword=14; Skeleton Shield=9; Skeleton Spear=13; Skeleton Sword & Shield=7; Skeleton Mage=19; Skeleton Bow=12; Skeleton Leader=2",10.88,4.00,0.00
3,26,327.00,150.00,17.50,17.50,107.00,"Skeleton Unarmed=28; Skeleton Sword=17; Skeleton Shield=8; Skeleton Spear=14; Skeleton Sword & Shield=7; Skeleton Mage=19; Skeleton Bow=12; Skeleton Leader=2",11.44,4.50,0.00
3,27,342.00,150.00,1.00,1.00,111.00,"Skeleton Unarmed=29; Skeleton Sword=16; Skeleton Shield=9; Skeleton Spear=15; Skeleton Sword & Shield=9; Skeleton Mage=20; Skeleton Bow=11; Skeleton Leader=2",11.26,4.50,0.00
3,28,336.00,150.00,6.50,6.50,107.00,"Skeleton Unarmed=27; Skeleton Sword=16; Skeleton Shield=8; Skeleton Spear=13; Skeleton Sword & Shield=7; Skeleton Mage=22; Skeleton Bow=12; Skeleton Leader=2",12.14,4.50,0.00
3,29,360.00,150.00,12.00,12.00,118.00,"Skeleton Unarmed=31; Skeleton Sword=18; Skeleton Shield=9; Skeleton Spear=16; Skeleton Sword & Shield=8; Skeleton Mage=22; Skeleton Bow=12; Skeleton Leader=2",12.28,4.50,0.00
3,30,379.00,50.00,7.50,7.50,124.00,"Skeleton Unarmed=33; Skeleton Sword=17; Skeleton Shield=12; Skeleton Spear=15; Skeleton Sword & Shield=9; Skeleton Mage=23; Skeleton Bow=13; Skeleton Leader=2",12.24,4.50,0.00
3,31,397.00,150.00,107.00,7.00,127.00,"Skeleton Unarmed=34; Skeleton Sword=18; Skeleton Shield=10; Skeleton Spear=16; Skeleton Sword & Shield=9; Skeleton Mage=23; Skeleton Bow=14; Skeleton Leader=3",13.08,5.00,0.00
3,32,391.00,150.00,1.00,1.00,124.00,"Skeleton Unarmed=33; Skeleton Sword=17; Skeleton Shield=11; Skeleton Spear=15; Skeleton Sword & Shield=9; Skeleton Mage=23; Skeleton Bow=13; Skeleton Leader=3",13.21,5.00,0.00
3,33,424.00,150.00,25.00,25.00,135.00,"Skeleton Unarmed=35; Skeleton Sword=19; Skeleton Shield=11; Skeleton Spear=17; Skeleton Sword & Shield=9; Skeleton Mage=26; Skeleton Bow=15; Skeleton Leader=3",13.60,5.00,0.00
3,34,440.00,150.00,5.00,5.00,141.00,"Skeleton Unarmed=37; Skeleton Sword=19; Skeleton Shield=13; Skeleton Spear=17; Skeleton Sword & Shield=10; Skeleton Mage=26; Skeleton Bow=16; Skeleton Leader=3",13.61,5.00,0.00
3,35,433.00,150.00,0.00,0.00,138.00,"Skeleton Unarmed=36; Skeleton Sword=20; Skeleton Shield=11; Skeleton Spear=17; Skeleton Sword & Shield=9; Skeleton Mage=27; Skeleton Bow=15; Skeleton Leader=3",13.42,5.00,0.00
3,36,444.00,150.00,13.50,13.50,144.00,"Skeleton Unarmed=39; Skeleton Sword=23; Skeleton Shield=11; Skeleton Spear=18; Skeleton Sword & Shield=9; Skeleton Mage=27; Skeleton Bow=14; Skeleton Leader=3",14.73,5.50,0.00
3,37,454.00,150.00,13.50,13.50,147.00,"Skeleton Unarmed=40; Skeleton Sword=20; Skeleton Shield=13; Skeleton Spear=19; Skeleton Sword & Shield=10; Skeleton Mage=28; Skeleton Bow=14; Skeleton Leader=3",14.49,5.50,0.00
3,38,461.00,150.00,4.50,4.50,147.00,"Skeleton Unarmed=38; Skeleton Sword=21; Skeleton Shield=13; Skeleton Spear=18; Skeleton Sword & Shield=11; Skeleton Mage=28; Skeleton Bow=15; Skeleton Leader=3",14.65,5.50,0.00
3,39,476.00,150.00,18.00,18.00,153.00,"Skeleton Unarmed=41; Skeleton Sword=21; Skeleton Shield=13; Skeleton Spear=19; Skeleton Sword & Shield=10; Skeleton Mage=31; Skeleton Bow=15; Skeleton Leader=3",15.28,5.50,0.00
3,40,474.00,50.00,0.00,0.00,152.00,"Skeleton Unarmed=40; Skeleton Sword=20; Skeleton Shield=12; Skeleton Spear=20; Skeleton Sword & Shield=12; Skeleton Mage=29; Skeleton Bow=16; Skeleton Leader=3",15.45,5.50,0.00
3,41,509.00,150.00,108.00,8.00,167.00,"Skeleton Unarmed=46; Skeleton Sword=23; Skeleton Shield=14; Skeleton Spear=22; Skeleton Sword & Shield=10; Skeleton Mage=33; Skeleton Bow=16; Skeleton Leader=3",16.15,6.00,0.00
3,42,529.00,150.00,8.00,8.00,169.00,"Skeleton Unarmed=45; Skeleton Sword=23; Skeleton Shield=15; Skeleton Spear=22; Skeleton Sword & Shield=11; Skeleton Mage=32; Skeleton Bow=17; Skeleton Leader=4",16.18,6.00,0.00
3,43,536.00,150.00,12.00,12.00,172.00,"Skeleton Unarmed=45; Skeleton Sword=24; Skeleton Shield=13; Skeleton Spear=22; Skeleton Sword & Shield=14; Skeleton Mage=34; Skeleton Bow=17; Skeleton Leader=3",16.30,6.00,0.00
3,44,551.00,150.00,12.00,12.00,176.00,"Skeleton Unarmed=47; Skeleton Sword=23; Skeleton Shield=15; Skeleton Spear=23; Skeleton Sword & Shield=11; Skeleton Mage=35; Skeleton Bow=18; Skeleton Leader=4",16.25,6.00,0.00
